Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
39,Patrick Beverley,PG,34,LAL,20,20,26.9,1.4,4.7,0.298,0.8,3.2,0.234,0.7,1.5,0.433,0.378,1,1.3,0.76,0.6,3.2,3.8,2.6,1,0.5,0.9,3,4.5
40,Saddiq Bey,SF,23,DET,25,17,29.7,4.7,11.6,0.402,1.6,5.5,0.299,3,6.2,0.494,0.473,3.8,4.3,0.879,1,3.4,4.4,1.8,0.9,0.2,1.2,1.8,14.8
41,Khem Birch,C,30,TOR,15,0,7.7,1.1,1.7,0.64,0.1,0.1,0.5,1,1.5,0.652,0.66,0.3,0.3,0.8,0.5,0.6,1.1,0.3,0.3,0.2,0.3,1.3,2.5
42,Goga Bitadze,C,23,IND,16,0,9.9,1.4,2.6,0.548,0.2,0.8,0.25,1.3,1.9,0.667,0.583,0.6,1.1,0.5,1,1.3,2.3,1,0.4,0.6,0.6,1.8,3.6
43,Bismack Biyombo,C,30,PHO,21,2,11.8,1.3,2.6,0.519,0,0,,1.3,2.6,0.519,0.519,0.4,1,0.4,0.9,2.4,3.3,0.8,0.3,1.4,1,1.8,3
44,Buddy Boeheim,PG,23,DET,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
45,Bogdan Bogdanović,SG,30,ATL,5,0,27.8,6.6,15.6,0.423,3.8,9.8,0.388,2.8,5.8,0.483,0.545,1,1,1,0,3.2,3.2,2.2,0.6,0.2,2,1,18
46,Bojan Bogdanović,PF,33,DET,28,28,30.9,7,13.8,0.508,2.6,6,0.437,4.4,7.8,0.562,0.602,4.4,4.9,0.891,0.6,3,3.6,2.4,0.6,0,2.4,1.7,21
47,Bol Bol,PF,23,ORL,28,23,26.9,5.1,8.5,0.608,0.7,1.8,0.4,4.4,6.7,0.663,0.65,1.4,1.8,0.784,1.3,6.1,7.4,1.1,0.5,1.8,2.1,1.4,12.4
48,Leandro Bolmaro,SG,22,UTA,5,0,8,0.4,1.6,0.25,0,0.4,0,0.4,1.2,0.333,0.25,0,0,,0.2,0.2,0.4,1.2,0.4,0.2,0.6,0.8,0.8
49,Devin Booker,SG,26,PHO,26,26,35.4,9.8,20.5,0.478,2.3,6.2,0.375,7.5,14.4,0.521,0.534,5.5,6.3,0.866,0.8,4,4.8,5.8,1,0.4,2.5,2.8,27.4
50,Brandon Boston Jr.,SG,21,LAC,9,0,9.7,2,4.8,0.419,0.9,1.6,0.571,1.1,3.2,0.345,0.512,0.8,1,0.778,0.3,0.9,1.2,0.6,0.2,0,0.4,0.6,5.7
51,Chris Boucher,PF,30,TOR,23,0,23.2,4,8.7,0.455,0.9,3,0.29,3.1,5.7,0.542,0.505,2.6,3.5,0.741,2.3,3.8,6.1,0.6,0.7,0.9,0.7,2.5,11.4
52,James Bouknight,SG,22,CHO,21,0,15.9,1.9,5.5,0.339,0.7,2.9,0.25,1.1,2.6,0.436,0.404,0.7,1,0.682,0.2,2,2.2,1.2,0.5,0.2,0.9,1.4,5.1
53,Tony Bradley,C,25,CHI,7,0,2.7,0.4,0.7,0.6,0.3,0.4,0.667,0.1,0.3,0.5,0.8,0.3,0.3,1,0.1,0.9,1,0.1,0.1,0,0.1,0.1,1.4
54,Malaki Branham,SF,19,SAS,13,4,17.5,1.8,5.7,0.324,0.7,3.1,0.225,1.2,2.6,0.441,0.385,0.6,0.8,0.8,0.2,1.5,1.7,1.7,0.2,0.2,0.8,1.2,5
55,Christian Braun,SG,21,DEN,24,0,13.7,1.3,2.8,0.441,0.3,0.9,0.364,0.9,1.9,0.478,0.5,0.3,0.6,0.571,0.7,1.5,2.1,0.6,0.3,0.2,0.3,1.1,3.2
56,Mikal Bridges,SF,26,PHO,27,27,36.4,6,12.3,0.491,1.9,4.3,0.427,4.2,8,0.526,0.566,1.9,2.1,0.893,1.2,3.9,5.1,3.2,1.1,0.9,1.1,2.2,15.8
57,Oshae Brissett,SF,24,IND,22,0,16.1,1.8,4.2,0.435,1,2.7,0.39,0.8,1.5,0.515,0.56,1.5,2.1,0.723,0.8,2.4,3.2,0.5,0.7,0.2,0.5,1.4,6.2
58,Malcolm Brogdon,PG,30,BOS,22,0,23,5,9.8,0.505,1.9,3.9,0.494,3,6,0.511,0.602,2.3,2.6,0.862,0.9,3.2,4.1,3.8,0.5,0.2,1.8,1.5,14.1
59,Dillon Brooks,SG,27,MEM,23,23,31.3,6.7,16.7,0.399,2.3,6.7,0.335,4.4,9.9,0.443,0.467,2.1,2.8,0.754,0.8,2.9,3.7,2.9,0.9,0.1,1.7,3.2,17.7
60,Bruce Brown,PG,26,DEN,26,14,29.8,4.3,9.2,0.475,1.3,3.2,0.393,3.1,5.9,0.519,0.544,1,1.2,0.833,1,3.5,4.5,4.3,1.1,0.5,1.8,2.5,10.9
61,Greg Brown III,PF,21,POR,7,0,7.1,1,2.1,0.467,0.1,0.7,0.2,0.9,1.4,0.6,0.5,0.3,1.1,0.25,0.1,0.9,1,0,0.4,0.6,0.4,1,2.4
62,Jaylen Brown,SF,26,BOS,25,25,35.6,10,20,0.501,2.4,7,0.345,7.6,13,0.585,0.561,4.4,5.3,0.841,1,6.1,7.2,3.6,1,0.4,3,2.6,26.8
63,Kendall Brown,SG,19,IND,6,0,6.7,0.7,1.2,0.571,0,0.2,0,0.7,1,0.667,0.571,0.2,0.3,0.5,0.3,0.7,1,0.5,0.7,0,0.3,1.5,1.5
64,Moses Brown,C,23,LAC,20,0,6.4,1.6,2.4,0.66,0,0,,1.6,2.4,0.66,0.66,1.1,2.2,0.488,1.2,1.7,2.8,0.1,0.1,0.5,0.2,0.9,4.2
65,Troy Brown Jr.,SF,23,LAL,23,16,24.1,2.7,6.3,0.431,1,3,0.319,1.7,3.3,0.533,0.507,0.7,0.7,1,0.9,3.5,4.4,0.9,0.7,0.1,0.9,1.5,7.1
66,Jalen Brunson,PG,26,NYK,27,27,31.7,7.1,15.4,0.464,1.3,4,0.324,5.9,11.4,0.513,0.506,4.5,5.1,0.883,0.5,2.9,3.3,6.3,1.1,0.2,2,2.4,20.1
67,Thomas Bryant,C,25,LAL,12,2,15.1,3.3,4.8,0.69,0.3,0.8,0.3,3.1,4,0.771,0.716,2,2.8,0.706,1.2,3.2,4.3,0.7,0.2,0.8,0.4,1.5,8.9
68,Reggie Bullock,SF,31,DAL,25,18,26.4,1.5,4.9,0.311,1.2,4,0.287,0.4,0.8,0.429,0.43,0.4,0.6,0.667,0.4,2.6,3,0.9,0.8,0.1,0.4,2.3,4.6
69,Alec Burks,SG,31,DET,16,0,20.6,4.2,9.7,0.432,1.8,4.8,0.382,2.4,4.9,0.481,0.526,3.3,4.2,0.791,0.3,2.6,2.9,1.9,0.9,0.1,0.9,2.5,13.5
70,Jimmy Butler,SF,33,MIA,17,17,35.2,7.3,13.9,0.525,0.8,2.2,0.378,6.5,11.7,0.553,0.555,6.4,7.5,0.858,2.1,4.6,6.7,6,1.7,0.2,1.9,1.4,21.8
71,John Butler,C,20,POR,4,0,3.8,0.3,0.8,0.333,0,0.5,0,0.3,0.3,1,0.333,0,0,,0.3,0.3,0.5,0.3,0,0.3,0,0,0.5
72,Jamal Cain,SF,23,MIA,8,0,11.6,1.9,3.5,0.536,0.1,0.8,0.167,1.8,2.8,0.636,0.554,0.5,0.8,0.667,0.9,1.5,2.4,0.6,0.6,0,0.3,1.3,4.4
73,Kentavious Caldwell-Pope,SG,29,DEN,25,25,31.1,3.9,8.4,0.469,2.1,4.6,0.461,1.8,3.8,0.479,0.596,1,1.3,0.788,0.5,2.5,3,2.1,1.2,0.4,1.2,2,11
74,Facundo Campazzo,PG,31,DAL,8,0,6.5,0.4,1.6,0.231,0.4,1.4,0.273,0,0.3,0,0.346,0.1,0.3,0.5,0,0.3,0.3,1.1,0.8,0,0.4,0.4,1.3
75,Vlatko Čančar,PF,25,DEN,17,0,12.1,1.8,3.8,0.462,0.8,2,0.412,0.9,1.8,0.516,0.569,0.4,0.4,0.857,0.3,1.4,1.7,1,0.4,0.2,0.6,1.4,4.7
76,Clint Capela,C,28,ATL,25,25,27.8,5.4,8.6,0.625,0,0,,5.4,8.6,0.625,0.625,1.1,1.9,0.583,4.5,7.8,12.2,0.7,0.6,1.4,0.9,2.4,11.9
77,Vernon Carey Jr.,C,21,WAS,3,0,1.7,0,0.7,0,0,0,,0,0.7,0,0,0,0,,0,0.3,0.3,0,0,0,0.3,0.7,0
